Incomplete,Date,Sessions,% of Sessions
,12/08/2014 0:00,32925,0.30%
,11/08/2014 0:00,32449,0.30%
,10/08/2014 0:00,36672,0.30%
,09/08/2014 0:00,36873,0.30%
,08/08/2014 0:00,34289,0.30%
,07/08/2014 0:00,33204,0.30%
,06/08/2014 0:00,32661,0.30%
,05/08/2014 0:00,32832,0.30%
,04/08/2014 0:00,33784,0.30%
,03/08/2014 0:00,37182,0.30%
,02/08/2014 0:00,37893,0.30%
,01/08/2014 0:00,35264,0.30%
,31/07/2014 0:00,33135,0.30%
,30/07/2014 0:00,32430,0.30%
,29/07/2014 0:00,32990,0.30%
,28/07/2014 0:00,33364,0.30%
,27/07/2014 0:00,36364,0.30%
,26/07/2014 0:00,36708,0.30%
,25/07/2014 0:00,35404,0.30%
,24/07/2014 0:00,32941,0.30%
,23/07/2014 0:00,33104,0.30%
,22/07/2014 0:00,33855,0.30%
,21/07/2014 0:00,33672,0.30%
,20/07/2014 0:00,34968,0.30%
,19/07/2014 0:00,35272,0.30%
,18/07/2014 0:00,31501,0.30%
,17/07/2014 0:00,24053,0.20%
,16/07/2014 0:00,22605,0.20%
,15/07/2014 0:00,23655,0.20%
,14/07/2014 0:00,25461,0.20%
,13/07/2014 0:00,27513,0.20%
,12/07/2014 0:00,29192,0.20%
,11/07/2014 0:00,30002,0.30%
,10/07/2014 0:00,34029,0.30%
,09/07/2014 0:00,33324,0.30%
,08/07/2014 0:00,32875,0.30%
,07/07/2014 0:00,33927,0.30%
,06/07/2014 0:00,37175,0.30%
,05/07/2014 0:00,35227,0.30%
,04/07/2014 0:00,34857,0.30%
,03/07/2014 0:00,33508,0.30%
,02/07/2014 0:00,32311,0.30%
,01/07/2014 0:00,31203,0.30%
,30/06/2014 0:00,31150,0.30%
,29/06/2014 0:00,33718,0.30%
,28/06/2014 0:00,33999,0.30%
,27/06/2014 0:00,30946,0.30%
,26/06/2014 0:00,29089,0.20%
,25/06/2014 0:00,28799,0.20%
,24/06/2014 0:00,28904,0.20%
,23/06/2014 0:00,27617,0.20%
,22/06/2014 0:00,30143,0.30%
,21/06/2014 0:00,29988,0.30%
,20/06/2014 0:00,28919,0.20%
,19/06/2014 0:00,26487,0.20%
,18/06/2014 0:00,26365,0.20%
,17/06/2014 0:00,24458,0.20%
,16/06/2014 0:00,24226,0.20%
,15/06/2014 0:00,28499,0.20%
,14/06/2014 0:00,28250,0.20%
,13/06/2014 0:00,25674,0.20%
,12/06/2014 0:00,23506,0.20%
,11/06/2014 0:00,21625,0.20%
,10/06/2014 0:00,18800,0.20%
,09/06/2014 0:00,18807,0.20%
,08/06/2014 0:00,22764,0.20%
,07/06/2014 0:00,24731,0.20%
,06/06/2014 0:00,24723,0.20%
,05/06/2014 0:00,23583,0.20%
,04/06/2014 0:00,27729,0.20%
,03/06/2014 0:00,27692,0.20%
,02/06/2014 0:00,28360,0.20%
,01/06/2014 0:00,32308,0.30%
,31/05/2014 0:00,34207,0.30%
,30/05/2014 0:00,31038,0.30%
,29/05/2014 0:00,27928,0.20%
,28/05/2014 0:00,26961,0.20%
,27/05/2014 0:00,26695,0.20%
,26/05/2014 0:00,30395,0.30%
,25/05/2014 0:00,33609,0.30%
,24/05/2014 0:00,33725,0.30%
,23/05/2014 0:00,27971,0.20%
,22/05/2014 0:00,24165,0.20%
,21/05/2014 0:00,23201,0.20%
,20/05/2014 0:00,22785,0.20%
,19/05/2014 0:00,22751,0.20%
,18/05/2014 0:00,31007,0.30%
,17/05/2014 0:00,32654,0.30%
,16/05/2014 0:00,26505,0.20%
,15/05/2014 0:00,22693,0.20%
,14/05/2014 0:00,22038,0.20%
,13/05/2014 0:00,20974,0.20%
,12/05/2014 0:00,20675,0.20%
,11/05/2014 0:00,30068,0.30%
,10/05/2014 0:00,30958,0.30%
,09/05/2014 0:00,23866,0.20%
,08/05/2014 0:00,19947,0.20%
,07/05/2014 0:00,18633,0.20%
,06/05/2014 0:00,17725,0.10%
,05/05/2014 0:00,15591,0.10%
,04/05/2014 0:00,21703,0.20%
,03/05/2014 0:00,23921,0.20%
,02/05/2014 0:00,17997,0.20%
,01/05/2014 0:00,17131,0.10%
,30/04/2014 0:00,16511,0.10%
,29/04/2014 0:00,16270,0.10%
,28/04/2014 0:00,15847,0.10%
,27/04/2014 0:00,21944,0.20%
,26/04/2014 0:00,24974,0.20%
,25/04/2014 0:00,19601,0.20%
,24/04/2014 0:00,17228,0.10%
,23/04/2014 0:00,16179,0.10%
,22/04/2014 0:00,16218,0.10%
,21/04/2014 0:00,17378,0.10%
,20/04/2014 0:00,20945,0.20%
,19/04/2014 0:00,23188,0.20%
,18/04/2014 0:00,23197,0.20%
,17/04/2014 0:00,19128,0.20%
,16/04/2014 0:00,17751,0.20%
,15/04/2014 0:00,18681,0.20%
,14/04/2014 0:00,17808,0.20%
,13/04/2014 0:00,22105,0.20%
,12/04/2014 0:00,23490,0.20%
,11/04/2014 0:00,19594,0.20%
,10/04/2014 0:00,16709,0.10%
,09/04/2014 0:00,16198,0.10%
,08/04/2014 0:00,16442,0.10%
,07/04/2014 0:00,17062,0.10%
,06/04/2014 0:00,22948,0.20%
,05/04/2014 0:00,25107,0.20%
,04/04/2014 0:00,20031,0.20%
,03/04/2014 0:00,17272,0.10%
,02/04/2014 0:00,16809,0.10%
,01/04/2014 0:00,16636,0.10%
,31/03/2014 0:00,17539,0.10%
,30/03/2014 0:00,22334,0.20%
,29/03/2014 0:00,26364,0.20%
,28/03/2014 0:00,21410,0.20%
,27/03/2014 0:00,18452,0.20%
,26/03/2014 0:00,18261,0.20%
,25/03/2014 0:00,17927,0.20%
,24/03/2014 0:00,17755,0.20%
,23/03/2014 0:00,24548,0.20%
,22/03/2014 0:00,25705,0.20%
,21/03/2014 0:00,20029,0.20%
,20/03/2014 0:00,16295,0.10%
,19/03/2014 0:00,15355,0.10%
,18/03/2014 0:00,15272,0.10%
,17/03/2014 0:00,16913,0.10%
,16/03/2014 0:00,23262,0.20%
,15/03/2014 0:00,23956,0.20%
,14/03/2014 0:00,19568,0.20%
,13/03/2014 0:00,16331,0.10%
,12/03/2014 0:00,16873,0.10%
,11/03/2014 0:00,14987,0.10%
,10/03/2014 0:00,15622,0.10%
,09/03/2014 0:00,22265,0.20%
,08/03/2014 0:00,25594,0.20%
,07/03/2014 0:00,19608,0.20%
,06/03/2014 0:00,16407,0.10%
,05/03/2014 0:00,15802,0.10%
,04/03/2014 0:00,16269,0.10%
,03/03/2014 0:00,16882,0.10%
,02/03/2014 0:00,22019,0.20%
,01/03/2014 0:00,22231,0.20%
,28/02/2014 0:00,16007,0.10%
,27/02/2014 0:00,12294,0.10%
,26/02/2014 0:00,9325, <0.1% 
,25/02/2014 0:00,4841, <0.1% 
,24/02/2014 0:00,4863, <0.1% 
,23/02/2014 0:00,7642, <0.1% 
,22/02/2014 0:00,8171, <0.1% 
,21/02/2014 0:00,6649, <0.1% 
,20/02/2014 0:00,5635, <0.1% 
,19/02/2014 0:00,5520, <0.1% 
,18/02/2014 0:00,5719, <0.1% 
,17/02/2014 0:00,6882, <0.1% 
,16/02/2014 0:00,8105, <0.1% 
,15/02/2014 0:00,8996, <0.1% 
,14/02/2014 0:00,7080, <0.1% 
,13/02/2014 0:00,6330, <0.1% 
,12/02/2014 0:00,5913, <0.1% 
,11/02/2014 0:00,5813, <0.1% 
,10/02/2014 0:00,5638, <0.1% 
,09/02/2014 0:00,8482, <0.1% 
,08/02/2014 0:00,9939, <0.1% 
,07/02/2014 0:00,7981, <0.1% 
,06/02/2014 0:00,115, <0.1% 
,05/02/2014 0:00,6513, <0.1% 
,04/02/2014 0:00,6209, <0.1% 
,03/02/2014 0:00,6342, <0.1% 
,02/02/2014 0:00,10176, <0.1% 
,01/02/2014 0:00,11119, <0.1% 
,31/01/2014 0:00,8678, <0.1% 
,30/01/2014 0:00,7492, <0.1% 
,29/01/2014 0:00,7938, <0.1% 
,28/01/2014 0:00,8473, <0.1% 
,27/01/2014 0:00,7986, <0.1% 
,26/01/2014 0:00,11328, <0.1% 
,25/01/2014 0:00,13680,0.10%
,24/01/2014 0:00,11305, <0.1% 
,23/01/2014 0:00,9973, <0.1% 
,22/01/2014 0:00,11782, <0.1% 
,21/01/2014 0:00,14017,0.10%
,20/01/2014 0:00,17822,0.20%
,19/01/2014 0:00,21060,0.20%
,18/01/2014 0:00,22078,0.20%
,17/01/2014 0:00,16588,0.10%
,16/01/2014 0:00,12888,0.10%
,15/01/2014 0:00,12675,0.10%
,14/01/2014 0:00,12689,0.10%
,13/01/2014 0:00,13232,0.10%
,12/01/2014 0:00,20860,0.20%
,11/01/2014 0:00,27939,0.20%
,10/01/2014 0:00,22208,0.20%
,09/01/2014 0:00,18105,0.20%
,08/01/2014 0:00,17619,0.10%
,07/01/2014 0:00,20402,0.20%
,06/01/2014 0:00,21230,0.20%
,05/01/2014 0:00,25710,0.20%
,04/01/2014 0:00,26895,0.20%
,03/01/2014 0:00,25642,0.20%
,02/01/2014 0:00,22780,0.20%
,01/01/2014 0:00,23738,0.20%
,31/12/2013 0:00,25180,0.20%
,30/12/2013 0:00,23750,0.20%
,29/12/2013 0:00,23131,0.20%
,28/12/2013 0:00,22147,0.20%
,27/12/2013 0:00,21906,0.20%
,26/12/2013 0:00,22689,0.20%
,25/12/2013 0:00,23863,0.20%
,24/12/2013 0:00,17094,0.10%
,23/12/2013 0:00,15945,0.10%
,22/12/2013 0:00,15887,0.10%
,21/12/2013 0:00,15783,0.10%
,20/12/2013 0:00,11481, <0.1% 
,19/12/2013 0:00,9334, <0.1% 
,18/12/2013 0:00,8060, <0.1% 
,17/12/2013 0:00,6234, <0.1% 
,16/12/2013 0:00,5726, <0.1% 
,15/12/2013 0:00,9329, <0.1% 
,14/12/2013 0:00,10607, <0.1% 
,13/12/2013 0:00,8476, <0.1% 
,12/12/2013 0:00,8607, <0.1% 
,11/12/2013 0:00,11624, <0.1% 
,10/12/2013 0:00,17366,0.10%
,09/12/2013 0:00,16133,0.10%
,08/12/2013 0:00,20500,0.20%
,07/12/2013 0:00,16015,0.10%
